Ref,Val,Package,PosX,PosY,Rot,Side
"C2","0.1uF/6.3V/X5R","C_0402_1005Metric",53.900000,26.190000,270.000000,top
"C22","0.1uF/6.3V/X5R/PCIE","C_0402_1005Metric",27.750000,41.190000,45.000000,top
"C24","0.1uF/6.3V/X5R/PCIE","C_0402_1005Metric",28.500000,40.490000,45.000000,top
"C26","0.1uF/6.3V/X5R/PCIE","C_0402_1005Metric",25.000000,41.890000,90.000000,top
"C28","0.1uF/6.3V/X5R/PCIE","C_0402_1005Metric",24.000000,41.890000,90.000000,top
"D1","DONE","LED_0402_1005Metric",31.800000,10.765000,90.000000,top
"D5","PWR","LED_0402_1005Metric",48.800000,7.390000,0.000000,top
"R5","4.7k/5%","R_0402_1005Metric",53.315000,24.190000,180.000000,top
"R6","2.4k/5%","R_0402_1005Metric",53.400000,27.790000,180.000000,top
"R7","4.7k/5%","R_0402_1005Metric",52.900000,26.190000,270.000000,top
"R30","1k/1%","R_0402_1005Metric",30.625000,10.765000,270.000000,top
"R34","270R/5%","R_0402_1005Metric",29.375000,10.750000,270.000000,top
"R35","270R/5%","R_0402_1005Metric",28.125000,10.750000,270.000000,top
"SW1","PROG","SW_Push_1P1T_NO_Vertical_Wuerth_434133025816",36.000000,8.200000,0.000000,top
"SW2","USER","SW_Push_1P1T_NO_Vertical_Wuerth_434133025816",35.990000,3.950000,0.000000,top
"U1","XC7A75T-FGG484","Xilinx_FGG484",29.990000,25.390000,0.000000,top
"U2","MX25L51245GZ2I-10G","WSON-8-1EP_8x6mm_P1.27mm",47.400000,25.390000,0.000000,top
